E3 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0499; 0.1088; 0.2549;  84.58  ; 61.4  ; 57.69  ; -0.0406 ; 0.1371 ; 0.2909;  76.65  ; 76.6  ; 21.19  ; -0.0781 ; 0.0701 ; 0.1769
E3 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.1148; 0.1215; 0.2611;  83.51  ; 64.53  ; 67.14  ; -0.0421 ; 0.1455 ; 0.3009;  155.61  ; 138.41  ; 147.61 ; -0.2593 ; 0.1427 ; 0.301
E3 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0765; 0.127; 0.279;  86.03  ; 64.84  ; 44.74  ; -0.0554 ; 0.1066 ; 0.2425;  101.75  ; 82.33  ; 66.72  ; -0.0938 ; 0.127 ; 0.279
E3 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0651; 0.1356; 0.2826;  84.44  ; 62.71  ; 60.11  ; -0.0399 ; 0.141 ; 0.3029;  89.51  ; 73.81  ; 5.18  ; -0.1003 ; 0.0694 ; 0.1764
E3 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0616; 0.1149; 0.2562;  92.93  ; 90.6  ; 134.96  ; -0.0541 ; 0.0896 ; 0.2292;  111.73  ; 86.75  ; 43.79  ; -0.1365 ; 0.0832 ; 0.2072
E3 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0526; 0.0884; 0.2128;  96.74  ; 83.4  ; 128.69  ; -0.0462 ; 0.1066 ; 0.2515;  101.29  ; 86.78  ; 125.94  ; -0.0626 ; 0.1058 ; 0.241
E3 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.129; 0.0758; 0.1922;  74.56  ; 57.14  ; 24.82  ; -0.0416 ; 0.0956 ; 0.2236;  148.01  ; 111.81  ; 15.74  ; -0.2805 ; 0.0758 ; 0.1922
E3 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0597; 0.1388; 0.2972;  82.48  ; 72.44  ; 67.87  ; -0.0519 ; 0.1584 ; 0.3183;  113.91  ; 106.66  ; 110.91  ; -0.139 ; 0.1527 ; 0.3112
E3 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0801; 0.1132; 0.2571;  83.59  ; 83.4  ; 101.47  ; -0.0545 ; 0.127 ; 0.268;  175.41  ; 168.46  ; 294.33  ; -0.1989 ; 0.0489 ; 0.1766
E3 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.1157; 0.096; 0.2339;  109.0  ; 75.8  ; 106.78  ; -0.0601 ; 0.116 ; 0.2514;  140.46  ; 104.92  ; 64.36 ; -0.208 ; 0.096 ; 0.2339
E3 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0599; 0.1301; 0.2674;  92.45  ; 68.13  ; 92.66  ; -0.0415 ; 0.1301 ; 0.2674;  103.95  ; 72.01  ; 41.88  ; -0.0965 ; 0.0971 ; 0.2332
E3 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0536; 0.0812; 0.2016;  78.39  ; 58.0  ; 31.57  ; -0.0438 ; 0.0889 ; 0.2186;  79.94  ; 70.07  ; 9.48  ; -0.0768 ; 0.0662 ; 0.1651
E3 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0701; 0.1249; 0.2694;  80.55  ; 62.68  ; 55.47  ; -0.0407 ; 0.1303 ; 0.2849;  128.94  ; 101.97  ; 174.43  ; -0.0815 ; 0.0647 ; 0.2073
E3 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0705; 0.1147; 0.2603;  73.88  ; 70.93  ; 58.23  ; -0.0465 ; 0.1498 ; 0.3044;  142.97  ; 93.25  ; 85.46  ; -0.1563 ; 0.1305 ; 0.2847
E3 - [P_{c}=0.90, P_{m}= 0.10, P_{g}=100, P_{H}=13] ; -0.0496; 0.1076; 0.2504;  73.4  ; 64.51  ; 33.85  ; -0.047 ; 0.0942 ; 0.2255;  123.61  ; 95.02  ; 139.92  ; -0.0941 ; 0.1163 ; 0.257
